Wavelength (nm),Air_n,Air_k,Cu_n,Cu_k,SiO2_n,SiO2_k,Zn0.16_n,Zn0.16_k
285.0,1.0002939362346823,0.0,1.4477499999999999,1.633,1.492569908675799,0.0,1.4068669359540087,1.069273709204236
286.0,1.000293757530011,0.0,1.444,1.633,1.4922571232876713,0.0,1.40672752158262,1.0743048822684336
287.0,1.0002935788253398,0.0,1.4402499999999998,1.633,1.4919443378995434,0.0,1.4065966472003142,1.07933826718792
288.0,1.0002934001206685,0.0,1.4364999999999999,1.633,1.4916315525114157,0.0,1.4064657728180083,1.0843716521074063
289.0,1.0002932391686576,0.0,1.4327499999999997,1.633,1.4913187671232877,0.0,1.4063348984357025,1.0894050370268926
290.0,1.0002930900517535,0.0,1.4289999999999998,1.633,1.4910059817351597,0.0,1.4062040240533966,1.094438421946379
291.0,1.0002929409348493,0.0,1.42525,1.633,1.490693196347032,0.0,1.4063619039198578,1.0952347944054677
292.0,1.0002927918179452,0.0,1.4214999999999998,1.633,1.490380410958904,0.0,1.406575047933499,1.0952202528045372
293.0,1.0002926427010412,0.0,1.4185882352941175,1.6362470588235296,1.4900676255707763,0.0,1.4067881919471403,1.0952057112036064
294.0,1.000292493584137,0.0,1.416235294117647,1.6416588235294118,1.4897548401826484,0.0,1.4070013359607816,1.0951911696026757
295.0,1.000292344467233,0.0,1.4138823529411764,1.6470705882352943,1.4894420547945206,0.0,1.4072144799744228,1.095176628001745
296.0,1.0002921953503288,0.0,1.4115294117647057,1.6524823529411765,1.4891292694063927,0.0,1.4075454543800099,1.0932869185289877
297.0,1.0002920462334248,0.0,1.4091764705882353,1.657894117647059,1.488816484018265,0.0,1.4079024208028559,1.0909835687815732
298.0,1.0002918971165207,0.0,1.4068235294117646,1.6633058823529414,1.488503698630137,0.0,1.4082593872257017,1.088680219034159
299.0,1.0002917479996165,0.0,1.404470588235294,1.6687176470588236,1.4881909132420093,0.0,1.4086163536485474,1.0863768692867446
300.0,1.0002915988827124,0.0,1.4021176470588235,1.674129411764706,1.4878781278538813,0.0,1.4089733200713934,1.08407351953933
301.0,1.0002914497658084,0.0,1.3997959183673467,1.6795102040816328,1.4875653424657533,0.0,1.4093514600401866,1.0817867269607802
302.0,1.0002913006489043,0.0,1.397755102040816,1.6846122448979592,1.4872525570776256,0.0,1.4097349199883429,1.079504094469392
303.0,1.000291151532,0.0,1.3957142857142857,1.689714285714286,1.4870003914590748,0.0,1.4101183799364991,1.077221461978004
304.0,1.000291025576452,0.0,1.393673469387755,1.6948163265306124,1.4867633807829181,0.0,1.4105018398846554,1.0749388294866158
305.0,1.0002908996209041,0.0,1.3916326530612244,1.699918367346939,1.4865263701067615,0.0,1.4108852998328114,1.0726561969952277
306.0,1.0002907736653561,0.0,1.3895918367346938,1.7050204081632654,1.486289359430605,0.0,1.4114782797286098,1.0704885672881708
307.0,1.0002906477098084,0.0,1.3875510204081631,1.710122448979592,1.4860523487544484,0.0,1.4121306597703622,1.068353541551529
308.0,1.0002905217542604,0.0,1.3855102040816325,1.7152244897959186,1.4858153380782917,0.0,1.4127830398121146,1.0662185158148874
309.0,1.0002903957987124,0.0,1.3834693877551019,1.720326530612245,1.4855783274021352,0.0,1.4134354198538668,1.0640834900782459
310.0,1.0002902698431644,0.0,1.3814285714285712,1.7254285714285715,1.4853413167259786,0.0,1.4140877998956192,1.0619484643416042
311.0,1.0002901438876164,0.0,1.38,1.7306701030927836,1.4851043060498221,0.0,1.4179078195367403,1.0614841983936512
312.0,1.0002900179320684,0.0,1.38,1.736237113402062,1.4848672953736655,0.0,1.42273343984558,1.0615503327978837
313.0,1.0002898919765206,0.0,1.38,1.7418041237113402,1.4846302846975088,0.0,1.4275590601544197,1.0616164672021162
314.0,1.0002897660209726,0.0,1.38,1.7473711340206186,1.4843932740213523,0.0,1.4323846804632594,1.061682601606349
315.0,1.0002896400654246,0.0,1.38,1.7529381443298968,1.4841562633451957,0.0,1.437210300772099,1.0617487360105815
316.0,1.0002895141098767,0.0,1.38,1.7585051546391752,1.483919252669039,0.0,1.4419988266696944,1.0617972064094596
317.0,1.0002893881543287,0.0,1.38,1.7640721649484534,1.4836822419928826,0.0,1.4467742485753214,1.0618394368121624
318.0,1.0002892695771644,0.0,1.38,1.7696391752577318,1.483445231316726,0.0,1.4515496704809485,1.0618816672148652
319.0,1.0002891620675753,0.0,1.38,1.77520618556701,1.4832082206405692,0.0,1.4563250923865756,1.061923897617568
320.0,1.0002890545579863,0.0,1.38,1.7807731958762885,1.4829712099644128,0.0,1.4611005142922024,1.0619661280202706
321.0,1.0002889470483973,0.0,1.3778378378378378,1.7850540540540538,1.4827341992882561,0.0,1.4658412810946677,1.0619907448071058
322.0,1.000288839538808,0.0,1.3742342342342342,1.7884774774774772,1.4824971886120997,0.0,1.4705684956555483,1.0620084736047088
323.0,1.000288732029219,0.0,1.3706306306306306,1.7919009009009008,1.482260177935943,0.0,1.4752957102164288,1.062026202402312
324.0,1.00028862451963,0.0,1.367027027027027,1.7953243243243242,1.4820231672597863,0.0,1.4800229247773096,1.062043931199915
325.0,1.000288517010041,0.0,1.3634234234234235,1.7987477477477476,1.4817861565836299,0.0,1.4847501393381901,1.0620616599975181
326.0,1.000288409500452,0.0,1.35981981981982,1.802171171171171,1.4815491459074732,0.0,1.489445060163384,1.062062406400894
327.0,1.000288301990863,0.0,1.3562162162162164,1.8055945945945946,1.4813121352313166,0.0,1.494126061262968,1.0620558328004734
328.0,1.000288194481274,0.0,1.3526126126126126,1.809018018018018,1.48107512455516,0.0,1.4988070623625522,1.0620492592000526
329.0,1.0002880869716848,0.0,1.349009009009009,1.8124414414414414,1.4808381138790034,0.0,1.5034880634621361,1.0620426855996319
330.0,1.0002879794620958,0.0,1.3454054054054054,1.8158648648648648,1.480601103202847,0.0,1.5081690645617203,1.062036111999211
331.0,1.0002878719525068,0.0,1.3418018018018019,1.8192882882882881,1.4804070454545453,0.0,1.5125031423672533,1.063054625076692
332.0,1.0002877644429178,0.0,1.340909090909091,1.8229545454545455,1.480231396103896,0.0,1.5166729962341239,1.0645583859729326
333.0,1.0002876688592082,0.0,1.3427272727272728,1.8268636363636364,1.4800557467532467,0.0,1.5208428501009945,1.0660621468691733
334.0,1.0002875762569685,0.0,1.3445454545454547,1.8307727272727272,1.4798800974025974,0.0,1.525012703967865,1.067565907765414
335.0,1.0002874836547286,0.0,1.3463636363636364,1.834681818181818,1.479704448051948,0.0,1.5291825578347356,1.0690696686616548
336.0,1.000287391052489,0.0,1.3481818181818184,1.8385909090909092,1.4795287987012986,0.0,1.5333210543367726,1.070610558981618
337.0,1.0002872984502493,0.0,1.35,1.8425,1.4793531493506493,0.0,1.537443298579445,1.0721706931706878
338.0,1.0002872058480095,0.0,1.3518181818181818,1.8464090909090909,1.4791775,0.0,1.5415655428221178,1.0737308273597577
339.0,1.0002871132457698,0.0,1.3536363636363637,1.850318181818182,1.4790018506493505,0.0,1.5456877870647903,1.0752909615488275
340.0,1.0002870206435301,0.0,1.3554545454545455,1.8542272727272728,1.4788262012987012,0.0,1.549810031307463,1.0768510957378974
341.0,1.0002869280412905,0.0,1.3572727272727274,1.8581363636363637,1.478650551948052,0.0,1.553923244876974,1.0783852813325685
342.0,1.0002868354390506,0.0,1.3590909090909091,1.8620454545454546,1.4784749025974024,0.0,1.5580313467398925,1.0799047790298162
343.0,1.000286742836811,0.0,1.3604273504273505,1.8662222222222222,1.4782992532467532,0.0,1.562139448602811,1.081424276727064
